Artwork,Photo,Last Name,First Name,Location,Medium,Project Status,Description,Page Link,Latitude,Longitude,Mapped Location
Citizen,https://data.nashville.gov/views/eviu-nxp6/files/e38038c6-0c58-4ba6-937c-a0b6960bb5e7,Sayer,Thomas,Public Square Park,Glass torsos with woven stainless steel base,Complete,"Installed summer of 2010 in Public Square, Citizen is located on the front lawn of the downtown public square and courthouse. The two 30’ tall sculptures feature a crank device at their bases, allowing the audience to point each of the two figures’ outstretched arms towards various points of interest downtown.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Citizen.aspx,36.166414000000003,-86.778467000000006,"(36.166414000000003, -86.778467000000006)"
Circulate,https://data.nashville.gov/views/eviu-nxp6/files/94f8c502-16ec-4af9-8889-f88a842f2b60,Carlson,Erik,Lentz Public Health Center,LCD smart glass,Complete,"Installed in July of 2014, Circulate is located inside the new Lentz Public Health Center. Modeled on the concept of small-world networks and the body's circulation system, the artwork incorporates LCD Smart glass ""pixels,"" parabolic mirrors, and custom software to dramatically animate the ideas of flow and connection. Utilizing motion-capturing technology, Circulate translates real-time images of the movement on the stairs into dynamic and ever-changing animations revealed as the 124 LCD glass disks fade between opaque and clear. Like the building itself, the public art at Lentz encourages health and fitness by rewarding those who take the stairs.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Circulate.aspx,36.155664999999999,-86.813368999999994,"(36.155664999999999, -86.813368999999994)"
Continuum,https://data.nashville.gov/views/eviu-nxp6/files/fbeb3746-0c9c-4c8b-aedc-d15c1958524f,McGee,Carrie,Goodlettsville Public Library,Acrylic on transparent tiles; some photographs,Complete,"Installed summer of 2011, Continuum is located above the circulation desk at the Goodlettsville Library. Consisting of eighteen acrylic tiles hanging from a suspended ring, Continuum mirrors the circular architecture of the library. The translucent acrylic tiles are references to the history of the Goodlettsville area and the role of the library as a source of information. The “book like” tiles include historical images from Goodlettsville and rust impressions from local items. Nashville artist Carrie McGee, along with writer David Sprouse and designer Heidi Sprouse, created a book documenting the photographs and objects included in the artwork. For her graphic design work on the book, Heidi Sprouse received a ""Juror's Discretionary Award"" at the 65th Annual Student Art Competition at the University of Tennessee School of Art (2012). The book is available in pdf or print versions.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Continuum.aspx,36.314566999999997,-86.710657999999995,"(36.314566999999997, -86.710657999999995)"
Emerge (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/8b6ccaf9-d8c1-4fbb-9211-6d402f16d14a,Young,Matt,Church Street Park,Polished concrete base with stainless steel curved bar,Complete,Emerge was selected by the Americans for the Arts 2011 Public Art Network Year in Review.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Emerge.aspx,36.16245,-86.781914,"(36.16245, -86.781914)"
Emergence (Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/716f9ff3-b20b-43c0-8ed1-9675426b3812,Jackson,Buddy,Hartman Park,"Cast water-impermeable concrete, powdered pigments",Complete,"From emergency comes emergence. Buddy Jackson’s artwork is a large face of an African-American woman emerging from the earth. This face serves as a symbol of every individual’s story of danger, loss, strength and determination to push through the setbacks caused by both nature and man.Jackson states, “I learned at community meetings, that unlike other areas of Nashville, the flood is very much still in the Bordeaux community. This primarily African-American community was one of the hardest hit by the flood, the rising waters, and the aftermath of this disaster. Many homes still remain abandoned, and many people are still struggling to find resolution. I also discovered a very strong sense of pride in the community of Bordeaux, pride in how the people of the community opened shelters and help centers in areas. There is a determination that they will emerge from the water intact, made whole, and stronger than ever.”",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Emergence.aspx,36.209809999999997,-86.824725000000001,"(36.209809999999997, -86.824725000000001)"
Exploration and Discovery: The Scholar,https://data.nashville.gov/views/eviu-nxp6/files/858a7c38-a567-4ef7-b705-da9fc6765927,Rowe,Ken,Nashville Public Library,"Cast bronze, fabricated bronze, fabricated steel base",Complete,"Dedicated June of 2011 Exploration & Discovery is a three part installation by artist Ken Rowe. The three bronze sculptures that make up the Exploration & Discovery sequence are The Spark of Discovery, The Scholar and To the Moon. Each highly detailed sculpture captures the image of an individual or group of individuals in the pursuit knowledge through acts of exploration and discovery. Rowe’s three works were created to inspire, celebrate and honor the legacy of creativity and ingenuity within the Nashville community.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Exploration-and-Discovery.aspx,36.162154000000001,-86.781827000000007,"(36.162154000000001, -86.781827000000007)"
From the Four Corners,https://data.nashville.gov/views/eviu-nxp6/files/9bbfcc3f-7be1-4dfa-aaaa-5d5ab2187464,Vexler,Paul,Southeast Davidson Library and Regional Community Center,wood and laminate,Complete,"Installed July of 2014, From the Four Corners is located in the lobby of the Southeast Library and Community Center at the Commons at the Crossings campus. The large sculpture was hand crafted by artist Paul Vexler in his home studio in Snohomish, WA. The design for the public artwork was heavily influenced by the communities surrounding the library and community center. Vexler describes From the Four Cornersas, “a sculptural metaphor celebrating a rich diverse community.” Suspended from the ceiling in the central lobby area, four different wood species and brightly colored plastic laminate are shaped into curling, spiraling strips and intertwined into a loose knot in the center of the sculpture. Each of the four wood pieces stretches from the center knot into to a different corner of the lobby space.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/From-the-Four-Corners.aspx,36.052047999999999,-86.655822000000001,"(36.052047999999999, -86.655822000000001)"
Ghost Ballet for the East Bank Machineworks,https://data.nashville.gov/views/eviu-nxp6/files/65c12cf0-3020-423f-af1d-eac62a2f579d,Aycock,Alice,Riverfront at Cumberland Park,"Steel, neon, aluminum, industrial metals",Complete,"Installed in 2007, Ghost Ballet for the East Bank Machineworks is located on the bank of the Cumberland River, opposite the downtown. The 100’ x 100’ x 60’ sculpture was Nashville’s first Percent for Public Art commission. The artwork references the site’s industrial past and visually echoes current surroundings, including nearby bridges and the NFL Titans stadium. Its dynamic form conveys a sense of the area’s evolution from an industrial working river to recreation and entertainment.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Ghost-Ballet.aspx,36.163255999999997,-86.772114000000002,"(36.163255999999997, -86.772114000000002)"
Good Eats (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/db9c9db5-61ac-4b48-bc22-f655d3388c40,Henderson,Wayne,21st Avenue & Broadway,"Fiberglass with faux wood finish, stainless steel pipes, steel",Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Projects-in-Progress/New-Bike-Racks.aspx,36.148328999999997,-86.799705000000003,"(36.148328999999997, -86.799705000000003)"
Great Beginnings,https://data.nashville.gov/views/eviu-nxp6/files/e12e8f14-5108-4b6b-895a-1d1477f442f2,Precious,Beverly,Bellevue Branch Library,steel and dichroic glass,Complete,"Installed in December 2014, Great Beginnings is located at the Bellevue Branch Library. The large steel and glass sculpture provides an iconic backdrop to the many activities that will take place in the library’s outdoor gathering space. Artist Beverly Stucker Precious was inspired by the idea of a “learning tree” and the title of the sculpture refers to bands of type interwoven through the branches and leaves. The text contains fragments of opening sentences from literature suggested by the community. The artwork’s dichroic glass is a reflective surface that changes color with the angle of the light and the perspective of the viewer.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Great-Beginnings.aspx,36.073380999999998,-86.935261999999994,"(36.073380999999998, -86.935261999999994)"
Handlebar Moustache (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/b2bc69e4-25f6-4e78-880b-ddca94c45276,Colt,Jenna, ,Concrete and fabricated metal,Complete,Handlebar Moustache is a whimsical representation of Nashvillian's love of facial hair and sense of humor. It puts a smile on everyone's face.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Handlebar-Moustache.aspx,36.1829818,-86.732620199999999,"(36.1829818, -86.732620199999999)"
Liquid 615 (Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/4c2008d0-12d3-43e2-96a6-7a89f2b06415,Allison,Michael,Antioch Community Center,"Blue glass, LED lighting, galvanized metal",Complete,"Liquid 615 is made up of 240 hand-blown glass drops hanging in two rows from galvanized silver pipes attached to the community center building. They are illuminated at night from within the pipe with LED lighting so that each glass drop is lit. Artist Michael Allison says, “The drops obviously represent the flood waters, but also the tears of the individuals in the Antioch community. The drops, especially when lit, look beautiful and encourage the community to find beauty again in this essential life giving force. When I was in the community gathering meeting, I was so struck by the relief coordinator’s stories of the community’s strength and perseverance after the flood in Antioch. These individual drops are all held together by galvanized, strong metal to represent this bond that held the community together in the aftermath of such tragedy.”",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Liquid-615.aspx,36.055844999999998,-86.673000000000002,"(36.055844999999998, -86.673000000000002)"
Light Meander,https://data.nashville.gov/views/eviu-nxp6/files/11376b8a-9416-4b78-b55a-bb85fa0b5dfc,Haddad Drugan,Laura and Tom,West Riverfront Park,"steel, LED lighting, wood",Complete,"Light Meander, 45 feet tall, three-feet wide and 12-inches thick; Stainless steel plate and tube, hardwood, color-changing LED strip lights, and Acrylic rod; The artists drew their inspiration for the Light Meander sculpture from its significant location at the Demonbreun Street terminus, a former tributary to the Cumberland River. A bold and experiential sculpture, the art forms a nexus between the river and downtown Nashville. The sculpture takes advantage of the dynamic views from many nearby vantage points, and its reflectivity and color make it interactive and always changing throughout the day and night. Conceptually, the artwork draws on the city’s relationship to the river, symbolically reuniting the city’s past and present as well as the natural and urban environment of downtown. The form of the sculpture is based on the meandering curves of the Cumberland River as it passes through Davidson County. The very top of the sculpture, pointing toward the sky, includes stainless steel textile of reflective metal guitar picks. The picks also hang from the underside of the sculpture where they create a subtle musical sound when there is a breeze. On the top portion of the city-facing side of the sculpture, color changing LED strip lights illuminate a series of horizontally inset acrylic rods, creating a textured ribbon of electric light at night. The lighting draws from the changing colors and qualities of light on the river. At the lowest bend, there is a seating area of durable hardwood allowing visitors to immerse themselves in the experience of the undulating form, reflections and colored light. The river side of Light Meander includes a highly polished surface which reflects the area and visitors in unique and playful ways.",http://www.nashville.gov/Arts-Commission/Public-Art/Projects-in-Progress/West-Riverfront-Park.aspx,,,
Lotus (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/a9b8e6a1-1867-49c7-a42a-424ebe15078e,Allison,Michael,Fannie Mae Dees Park,Recycled bike parts,Complete,This bike rack utilizes recycled bike frames to compose the colorful organic design.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Lotus.aspx,36.137487999999998,-86.805802999999997,"(36.137487999999998, -86.805802999999997)"
Microphone (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/ac6f827d-4af4-4ac7-a425-311e658718c4,Harmon and Hill and Lee,Keith and Mac and Franne,Music Row Roundabout,"Steel and stainless steel, powder coat",Complete,Microphone was selected by the Americans for the Arts 2011 Public Art Network Year in Review.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Microphone.aspx,36.152391999999999,-86.791349999999994,"(36.152391999999999, -86.791349999999994)"
Stix,https://data.nashville.gov/views/eviu-nxp6/files/45c28dff-0736-4248-bc69-9a6f0cda21fc,Moeller,Christian,KVB Roundabout,Red cedar oak trees,In Progress,"Artist Christian Moeller has been selected for the public art project at the Korean Veterans Boulevard Roundabout, adjacent to the Music City Center convention facility. His proposed work is a composition of native hardwood and natural colors – red orange, light blue, dark blue, light green and egg white, a homage to the Native Americans who first populated Middle Tennessee – with approximately 27 painted red cedar poles standing 70-feet tall. They will be spaced in an irregular organic pattern throughout the surface area of the roundabout. Moeller’s proposal calls for the verticality of the poles to vary between zero- to 15-degrees from the center axis. Each pole tip will be covered with a cap made of photo-luminescent pigment enhanced urethane resin to emit a light glow at night.",http://www.nashville.gov/Arts-Commission/Public-Art/Projects-in-Progress/KVB-Roundabout-Project.aspx,36.154696999999999,-86.779386000000002,"(36.154696999999999, -86.779386000000002)"
Lyrical Rider(Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/28ffd3f7-9f1a-455d-9982-248904307510,Novak,Anthony,Coleman Park Community Center,painted metal,Complete,"In this design, bicycle and rider are synthesized into one unified, lyrical design.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Lyrical-Rider.aspx,36.111846,-86.744839999999996,"(36.111846, -86.744839999999996)"
Magnolia Transit Shelters,https://data.nashville.gov/views/eviu-nxp6/files/76067562-8cd4-4a07-99c1-d788f8fa9794,Berry,Kevin,28th/31st Avenue Connector,Metal,Complete,"Installed fall of 2012, Magnolia Transit Shelters are located at the intersection of 28th Avenue and Charlotte Avenue. As part of the 28th Ave. Connector Bridge and Transit Shelter Project, this transit shelter design is intended to help strengthen the project's overall theme of connectivity. The artwork was conceived in the spirit of uniting these two unique and diverse communities through a design directly inspired by iconic elements found in both Centennial and Hadley Park. The transit shelter design is meant to reflect a sense of place and is intended to be integrated into the surrounding environment.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Magnolia-Transit-Shelters.aspx,36.153674000000002,-86.818315999999996,"(36.153674000000002, -86.818315999999996)"
Needle,https://data.nashville.gov/views/eviu-nxp6/files/194d2a18-0232-42ba-901a-28ebe8b46934,Dahlquist,David,28th/31st Avenue Connector,"Steel and stainless steel, powder coat",Complete,"Installed fall of 2012, Thread, the 28th Avenue Connector Bridge Enhancement and Needle, Transit Shelters are located in Park Plaza and the 28th-31st Bridge. Using sewing, threads and knot tying as a metaphor, Thread and Needle speaks to the underlying purpose of the bridge and the project as a whole. Intended to connect two formerly separated neighborhoods and cultural areas, the bridge and artwork bring the community together in a myriad of ways. Thread (bridge) is composed of 150 steel panels featuring different sewing motifs, making a quilt-like pattern across the bridge. The steel plate quilt patterns were inspired by and developed through a series of community workshops held in 2011. Needle (transit shelter) features a large scale sewing needle and images of knots and threads echoing the themes and symbols depicted in the bridge artwork.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Thread-and-Needle.aspx,36.149839,-86.818186999999995,"(36.149839, -86.818186999999995)"
On Air (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/d4111fe2-984f-4749-83b3-b3a1eb07bf5f,Griffith,Samantha,Morgan Park,"Steel, square tubing, rebar",Complete,This rack is an abstracted radio tower inspired by the history of live radio shows and music in Nashville. This artwork stands approximately 12 feet high with its circles of radio waves and lightning bolts crowning the top of the tower,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/On-Air.aspx,36.180458000000002,-86.790428000000006,"(36.180458000000002, -86.790428000000006)"
Pedal Petroleum (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/73bc004f-06db-4054-a9e9-cbfdb9ec62b5,Buffet,William,Donelson Train Station,Metal,Complete,"Pedal Petroleum is a play on pedal powered “free gas.” Using actual gas pumps and bright colors, this rack is a fun addition to commuters’ daily treks.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Pedal-Petroleum.aspx,36.167181999999997,-86.665812000000003,"(36.167181999999997, -86.665812000000003)"
Pier (Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/83123f2c-75ca-491c-a457-101a17914e19,Cote,Derek,Cumberland River Pedestrian Bridge,"Composite decking, aluminum, windsocks",Complete,"Derek Coté’s “piers” serve as benches and are intended to provide a place for visitors to stop and reflect on the beauty and physical presence of the Cumberland River. The benches are situated on a slope above the river, raising visitors above the elevation of the path and provide a less obstructed view of the river and the surrounding area.The artwork’s most prominent feature is a series of four, fifteen foot windsocks each custom printed with adjectives that describe both the river and the residents of Donelson: Respect, Strength, Spirit, Depth. These adjectives universally illustrate the river and the people of this neighborhood. Coté says, “The aim of this artwork is to celebrate the inherent power and peacefulness of the Cumberland River and the people of Donelson who live with the Cumberland River on a daily basis.”",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Pier.aspx,36.189788,-86.689543999999998,"(36.189788, -86.689543999999998)"
Reflection,https://data.nashville.gov/views/eviu-nxp6/files/173ecccb-8194-499f-82e3-ac361c17006a,Argent,Lawrence,Shelby Park,Black granite and stainless steel,Complete,"Installed fall of 2012, Reflection is located in East Nashville’s Shelby Park. Refection explores Shelby Park’s past, present and future through playful metaphors of reflection. Referencing the former amusement park and the expansive wildlife, specifically the mockingbird, it is within the sculpture’s materials and form where these whimsical reflections come together. The mirrored quality of the mockingbird parallels its natural “mimicking” qualities, while reflecting a new vista within the park. The bird perched, trophy like, is positioned on a piece of carved granite, reflecting the negative of the opposing wall. The opposing wall is carved with a swirling motion that terminates into a hole suggesting curiosity and passage.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Reflection.aspx,36.168380999999997,-86.729916000000003,"(36.168380999999997, -86.729916000000003)"
Rise Above,https://data.nashville.gov/views/eviu-nxp6/files/647af9be-cc1b-44d0-87b9-04fbbcee8064,Stein,Brenda,Bellevue Branch Library,Hackberry wood,Complete,"Metro Arts commissioned woodturner and Nashville artist Brenda Stein to create an interior artwork using wood from hackberry trees removed from the Bellevue Branch Library construction site. Installed in 2014, Stein’s suspended wood sculpture is titledRise Above. Her artwork is inspired by the Bellevue community’s resiliency and the limitless possibilities of books and learning. Above the circulation desk and the tech commons, nearly ninety birds gracefully soar together past the clerestory windows. In the children’s area, a colorful mobile of heart-shaped leaves provides a playful canopy above the seating area.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Rise-Above.aspx,36.073380999999998,-86.935261999999994,"(36.073380999999998, -86.935261999999994)"
The Gathering,https://data.nashville.gov/views/eviu-nxp6/files/2b217e9c-4e75-4aa4-a905-c81d80c72466,Hunter,Sherri Warner,Edmondson Park,mosaic tile,Complete,"Created in 2001 by Sherri Warner Hunter, The Gathering was completed in collaboration with students and staff from the Oasis Center and community volunteers. In 2013 the Oasis Center donated the sculpture to the Metro Nashville Arts Commission and relocated to Edmondson Park in 2014.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Edmondson-Park/The-Gathering.aspx,36.186640500000003,-86.785245500000002,"(36.186640500000003, -86.785245500000002)"
Road to the Mountaintop,https://data.nashville.gov/views/eviu-nxp6/files/d6a187cd-6adc-48a9-87a4-9c12b2948c67,Dial,Thornton,Edmondson Park,steel,Complete,"Thornton Dial was born in 1928 in Emelle, Alabama. For thirty years Dial worked at the Pullman-Standard plant building box cars. Dial was discovered as an artist in 1987 by friend Lonnie Holley and art collector William Arnett, although he recalls creating, “things” out of salvaged materials since early childhood. He is one of the most notable self-taught artists of the last century, exhibiting work in major museums across the United States. Highly collected, Dial’s work is featured in numerous public and private collections such as The Smithsonian American Art Museum, the Whitney Museum of American Art and the Metropolitan Museum of Art. ",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Edmondson-Park/Road-to-the-Mountaintop.aspx,36.186640500000003,-86.785245500000002,"(36.186640500000003, -86.785245500000002)"
Seasons from a Bird's Eye View,https://data.nashville.gov/views/eviu-nxp6/files/19982b16-5bca-4a06-a7bb-14ad51f935eb,Easter and Goostree,Paige and Dan,Goodlettsville Public Library,Tile and stone mosaic,Complete,"Installed summer of 2011, Seasons from a Bird's Eye View is located throughout the Goodlettsville Library gardens. Local artists Paige Easter and Dan Goostree designed the series of mosaic structures to create an enclosed garden space behind the library. Seasons from a Bird's Eye View depicts the subjects of history, edible gardens and color gardens throughout the mosaics.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Seasons-from-a-Birds-Eye-View.aspx,36.313941999999997,-86.710571999999999,"(36.313941999999997, -86.710571999999999)"
Soundboard Sliders (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/2f8e9cb6-ceff-4aac-b8bc-26578aa79e4f,McDaniel,Duncan,12 South,Powder covered metals,Complete,Soundboard Sliders represents Nashville’s unique identity as a music production hub.,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/Soundboard-Sliders.aspx,36.126699000000002,-86.789119999999997,"(36.126699000000002, -86.789119999999997)"
Supported by the Ancestors,https://data.nashville.gov/views/eviu-nxp6/files/76221a13-3a22-4721-9a80-2dddb33cd580,Holley,Lonnie,Edmondson Park,stainless steel and granite,Complete,"Lonnie Holley is a self-taught artist and musician born in 1950 in Birmingham, Alabama. Holley was inspired to pursue art after carving tombstones for his sister’s two children who were tragically killed in a house fire. Like Edmondson, Holley believes that his work and materials are divinely inspired. Working primarily in carved sandstone and found object assemblages, Holley’s sculptures have been displayed in institutions such as the Smithsonian American Art Museum, the American Folk Art Museum, the High Museum of Art, The White House and were recently accepted into the collection of The Metropolitan Museum of Art.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Edmondson-Park/Supported-by-the-Ancestors.aspx,36.186640500000003,-86.785245500000002,"(36.186640500000003, -86.785245500000002)"
The Riders (Bike Rack),https://data.nashville.gov/views/eviu-nxp6/files/8b0fd673-b5a3-4807-8e9d-8ab4258b4167,Conley,Seth,Shelby Street Pedestrian Bridge,Tube Steel,Complete,,http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Bike-Racks/The-Riders.aspx,36.164313999999997,-86.769360000000006,"(36.164313999999997, -86.769360000000006)"
Thread,https://data.nashville.gov/views/eviu-nxp6/files/e15501b2-e43f-4a6f-a9f2-ed3c19608c6d,Dahlquist,David,28th/31st Avenue Connector,Steel Plate Quilt Patterns,Complete,"Installed fall of 2012, Thread, the 28th Avenue Connector Bridge Enhancement and Needle, Transit Shelters are located in Park Plaza and the 28th-31st Bridge. Using sewing, threads and knot tying as a metaphor, Thread and Needle speaks to the underlying purpose of the bridge and the project as a whole. Intended to connect two formerly separated neighborhoods and cultural areas, the bridge and artwork bring the community together in a myriad of ways. Thread (bridge) is composed of 150 steel panels featuring different sewing motifs, making a quilt-like pattern across the bridge. The steel plate quilt patterns were inspired by and developed through a series of community workshops held in 2011. Needle (transit shelter) features a large scale sewing needle and images of knots and threads echoing the themes and symbols depicted in the bridge artwork.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Thread-and-Needle.aspx,36.150570999999999,-86.818647999999996,"(36.150570999999999, -86.818647999999996)"
Tool Fire(Watermarks Series),https://data.nashville.gov/views/eviu-nxp6/files/b828fd0a-7a5a-46f9-abc8-25e30ed3dcfd,Fennell,Christopher,Shelby Bottoms Park,"Welded metal hand tools, metal pipe, paint",Complete,"Referencing the tremendous clean-up efforts by the community and volunteers, Fennell’s sculpture, entitled Tool Fire, is a construction of hand tools over the existing fire pit next to the suspension bridge. Each panel is built from tools welded together and painted black. Fennell intends the artwork to look like “waves within the fire.” Fennell was inspired by the stories he heard from the community about neighbors pitching in to clear houses of wet drywall and carpet. They would use any hand tools they could find and would leave them piled up in the streets for the next volunteer crew to use.",http://www.nashville.gov/Arts-Commission/Public-Art/Collection/Watermarks/Tool-Fire.aspx,36.190824999999997,-86.691912000000002,"(36.190824999999997, -86.691912000000002)"
